품목,2019_1분기,2019_2분기,2019_3분기,2019_4분기,2020_1분기,2020_2분기,2020_3분기,2020_4분기,2021_1분기,2021_2분기,2021_3분기,2021_4분기,2022_1분기,2022_2분기,2022_3분기,2022_4분기,2023_1분기,연도,원유_수입(천배럴),원유_처리량(천배럴),석유제품_생산(천배럴),합 계(물량),합 계(금액),합 계(단가),연도,1월소비량(천톤),2월소비량(천톤),3월소비량(천톤),4월소비량(천톤),5월소비량(천톤),6월소비량(천톤),7월소비량(천톤),8월소비량(천톤),9월소비량(천톤),10월소비량(천톤),11월소비량(천톤),12월소비량(천톤),연간소비량합계(천톤),전년대비증감율(퍼센트),연도,생산(천톤),소비(천톤),산업용소비(천톤),연도,월,생산량,단위가격(기타),금액(기타),중량(기타)
원유_Dubai기준,63.39,67.34,61.19,62.45,50.65,30.62,42.98,41.42,60.02,67.39,71.56,78.07,95.14,109.73,97.33,85.38,80.09,1985.0,198313.0,201131.0,197559.0,168465.0,5161351.0,31.0,2007.0,270.0,194.0,286.0,70.0,35.0,27.0,19.0,32.0,108.0,348.0,398.0,304.0,2091.0,,1996.0,4951.0,4337.0,28.0,2016.0,1.0,4288593.0,0.0,0,0
나프타,520.67,540.33,493.88,550.65,441.92,276.81,399.22,372.65,559.47,615.27,676.82,740.19,877.96,878.21,712.43,674.26,684.23,1986.0,219667.0,209729.0,206988.0,171543.0,6091082.0,36.0,2008.0,323.0,294.0,413.0,51.0,30.0,43.0,38.0,56.0,127.0,269.0,340.0,305.0,2289.0,9.47,1997.0,4514.0,3769.0,57.0,2016.0,2.0,3592400.0,0.0,0,0
에틸렌,1029.33,916.67,864.17,757.33,722.92,588.58,790.92,700.81,1010.92,1042.25,1011.5,1122.0,1153.5,1112.33,894.0,870.67,884.94,1987.0,213621.0,210914.0,208662.0,171842.0,5848283.0,34.0,2009.0,249.0,192.0,180.0,101.0,55.0,47.0,26.0,45.0,157.0,322.0,299.0,268.0,1941.0,-15.2,1998.0,4361.0,3842.0,162.0,2016.0,3.0,3201669.0,0.0,0,0
프로필렌,938.33,900.33,948.17,874.42,803.08,719.0,852.0,791.36,1061.25,1066.83,1007.42,1031.5,1131.0,1074.42,899.17,875.39,928.89,1988.0,260179.0,256420.0,252196.0,192972.0,5767996.0,30.0,2010.0,235.0,167.0,160.0,126.0,64.0,46.0,43.0,61.0,114.0,300.0,311.0,232.0,1859.0,-4.22,1999.0,4197.0,3853.0,184.0,2016.0,4.0,2135286.0,0.0,0,0
HDPE(고밀도폴리에틸렌),1001.33,961.67,874.0,810.83,790.58,735.17,847.83,791.19,1048.5,1041.42,1042.92,1117.67,1096.83,1086.5,956.0,898.44,957.28,1989.0,292584.0,296722.0,292062.0,199482.0,5792389.0,29.0,2011.0,255.0,143.0,152.0,87.0,52.0,33.0,19.0,45.0,162.0,314.0,280.0,280.0,1822.0,-1.99,2000.0,4150.0,4159.0,117.0,2016.0,5.0,1989360.0,0.0,0,0
PP(폴리프로필렌),1060.33,1077.67,1019.25,961.33,883.17,809.58,918.92,870.56,1140.0,1128.5,1116.67,1172.42,1147.67,1134.42,961.08,902.06,937.89,1990.0,308368.0,306493.0,304495.0,198314.0,5499592.0,28.0,2012.0,205.0,194.0,139.0,79.0,37.0,29.0,17.0,30.0,123.0,315.0,374.0,291.0,1833.0,0.6,2001.0,3817.0,4026.0,107.0,2016.0,6.0,2076852.0,0.0,0,0
,,,,,,,,,,,,,,,,,,1991.0,387156.0,413055.0,408215.0,219668.0,3353189.0,15.0,2013.0,268.0,171.0,120.0,92.0,46.0,27.0,47.0,51.0,141.0,310.0,363.0,281.0,1917.0,4.58,2002.0,3318.0,3808.0,75.0,2016.0,7.0,2300665.0,0.0,0,0
,,,,,,,,,,,,,,,,,,1992.0,508986.0,510620.0,504560.0,213620.0,3787492.0,18.0,2014.0,202.0,142.0,103.0,55.0,35.0,22.0,18.0,36.0,136.0,263.0,319.0,298.0,1629.0,-15.02,2003.0,3299.0,3941.0,43.0,2016.0,8.0,2278564.0,0.0,0,0
,,,,,,,,,,,,,,,,,,1993.0,560563.0,543969.0,539986.0,260182.0,3827869.0,15.0,2015.0,197.0,139.0,109.0,58.0,25.0,21.0,15.0,27.0,102.0,251.0,275.0,254.0,1473.0,-9.58,2004.0,3191.0,3886.0,145.0,2016.0,9.0,2046908.0,0.0,0,0
,,,,,,,,,,,,,,,,,,1994.0,573714.0,560866.0,568452.0,292586.0,4861602.0,17.0,2016.0,170.0,126.0,90.0,39.0,24.0,21.0,14.0,36.0,93.0,195.0,253.0,194.0,1255.0,-14.8,2005.0,2832.0,4467.0,103.0,2016.0,10.0,2523673.0,0.0,0,0
,,,,,,,,,,,,,,,,,,1995.0,624945.0,631078.0,643102.0,308367.0,6461664.0,21.0,2017.0,127.0,113.0,78.0,36.0,18.0,14.0,7.0,18.0,105.0,167.0,247.0,149.0,1079.0,-14.02,2006.0,2824.0,4716.0,33.0,2016.0,11.0,3473228.0,0.0,0,0
,,,,,,,,,,,,,,,,,,1996.0,721927.0,720846.0,724128.0,387155.0,7516999.0,19.0,2018.0,119.0,98.0,60.0,34.0,20.0,14.0,11.0,16.0,65.0,177.0,173.0,126.0,913.0,-15.38,2007.0,2886.0,4254.0,7.0,2016.0,12.0,3912322.0,0.0,0,0
,,,,,,,,,,,,,,,,,,1997.0,873415.0,871974.0,911462.0,508985.0,9443146.0,19.0,2019.0,96.0,57.0,39.0,28.0,13.0,8.0,7.0,12.0,50.0,107.0,136.0,91.0,644.0,-29.46,2008.0,2772.0,4260.0,11.0,2017.0,1.0,4207223.0,0.0,0,0
,,,,,,,,,,,,,,,,,,1998.0,819094.0,825890.0,864845.0,560565.0,9298246.0,17.0,2020.0,58.0,48.0,38.0,25.0,10.0,7.0,5.0,6.0,36.0,95.0,85.0,95.0,508.0,-21.0,2009.0,2519.0,3309.0,8.0,2017.0,2.0,3804316.0,0.0,0,0
,,,,,,,,,,,,,,,,,,1999.0,874090.0,872742.0,911086.0,573713.0,8919439.0,16.0,2021.0,55.0,38.0,28.0,19.0,7.0,6.0,6.0,8.0,32.0,76.0,85.0,89.0,449.0,-11.6,2010.0,2084.0,2698.0,0.0,2017.0,3.0,3427452.0,0.0,0,0
,,,,,,,,,,,,,,,,,,2000.0,893943.0,890304.0,926897.0,624943.0,10824508.0,17.0,2022.0,51.0,35.0,29.0,17.0,9.0,8.0,8.0,9.0,33.0,70.0,81.0,75.0,425.0,-5.4,2011.0,2084.0,2365.0,0.0,2017.0,4.0,2420775.0,0.0,0,0
,,,,,,,,,,,,,,,,,,2001.0,859367.0,860115.0,907345.0,721925.0,14516825.0,20.0,,,,,,,,,,,,,,,,2012.0,2094.0,2424.0,0.0,2017.0,5.0,2075409.0,0.0,0,0
,,,,,,,,,,,,,,,,,,2002.0,790992.0,786805.0,858363.0,873414.0,17767558.0,20.0,,,,,,,,,,,,,,,,2013.0,1815.0,2240.0,0.0,2017.0,6.0,2230415.0,0.0,0,0
,,,,,,,,,,,,,,,,,,2003.0,804809.0,782951.0,841038.0,819095.0,11238880.0,14.0,,,,,,,,,,,,,,,,2014.0,1748.0,1879.0,0.0,2017.0,7.0,2490762.0,0.0,0,0
,,,,,,,,,,,,,,,,,,2004.0,825790.0,826551.0,886413.0,874092.0,14784285.0,17.0,,,,,,,,,,,,,,,,2015.0,1764.0,1718.0,0.0,2017.0,8.0,2269045.0,0.0,0,0
,,,,,,,,,,,,,,,,,,2005.0,843203.0,852439.0,922897.0,893944.0,25226821.0,28.0,,,,,,,,,,,,,,,,2016.0,1726.0,1495.0,0.0,2017.0,9.0,1984946.0,0.0,0,0
,,,,,,,,,,,,,,,,,,2006.0,888794.0,878395.0,949983.0,859369.0,21368020.0,25.0,,,,,,,,,,,,,,,,2017.0,1485.0,1314.0,0.0,2017.0,10.0,2157623.0,0.0,0,0
,,,,,,,,,,,,,,,,,,2007.0,872541.0,882117.0,955898.0,790991.0,19173385.0,24.0,,,,,,,,,,,,,,,,2018.0,1202.0,1143.0,0.0,2017.0,11.0,3621631.0,0.0,0,0
