연도,생산(천톤),소비(천톤),연탄용소비(천톤),발전용소비(천톤),산업용소비(천톤),재고(천톤),정부비축(천톤)
1996,4951,4337,1960,2514,28,8937,5033
1997,4514,3769,1389,2323,57,9720,6038
1998,4361,3842,1229,2451,162,10269,7024
1999,4197,3853,1117,2552,184,10737,7801
2000,4150,4159,1192,2850,117,10774,8111
2001,3817,4026,1230,2689,107,10576,8111
2002,3318,3808,1175,2558,75,10101,8111
2003,3299,3941,1191,2710,43,9527,8061
2004,3191,3886,1385,2356,145,8894,8061
2005,2832,4467,2010,2354,103,7388,6943
2006,2824,4716,2327,2356,33,5551,4671
2007,2886,4254,2091,2156,7,4231,3445
2008,2772,4260,2289,1960,11,2797,2026
2009,2519,3309,1941,1360,8,2226,1596
2010,2084,2698,1859,839,0,1853,1308
2011,2084,2365,1822,543,0,1720,1142
2012,2094,2424,1833,591,0,1628,1080
2013,1815,2240,1917,323,0,1457,924
2014,1748,1879,1629,250,0,1610,899
2015,1764,1718,1473,245,0,1798,899
2016,1726,1495,1255,240,0,2151,899
2017,1485,1314,1079,235,0,2441,899
2018,1202,1143,913,230,0,2589,905
2019,1084,1044,644,400,0,2650,918
2020,1019,908,508,400,0,2772,932
2021,898,849,449,400,0,2810,944
