날짜,종가,시가,고가,저가,거래량,변동 %
2023-07-24,92.45,91.82,92.52,91.33,0.88K,0.69%
2023-07-21,91.82,90.8,92.3,90.33,14.12K,1.08%
2023-07-20,90.84,88.95,91.24,88.75,17.57K,2.09%
2023-07-19,88.98,88.1,89.4,87.05,15.48K,0.91%
2023-07-18,88.18,86.78,88.32,86.25,14.99K,1.61%
2023-07-17,86.78,85.93,86.81,85.18,12.73K,0.50%
2023-07-14,86.35,85.82,87.65,85.82,10.62K,0.55%
2023-07-13,85.88,85.86,86.96,85.32,11.32K,0.06%
2023-07-12,85.83,87.03,88.32,85.68,15.76K,-1.40%
2023-07-11,87.05,86.34,87.22,85.11,15.21K,0.92%
2023-07-10,86.26,86.16,87.17,85.48,12.70K,0.13%
2023-07-07,86.15,86.05,87.85,85.83,12.12K,-0.16%
2023-07-06,86.29,85.7,86.45,85.33,14.12K,0.56%
2023-07-05,85.81,87.06,87.32,85.71,15.08K,-2.14%
2023-07-04,87.69,87.41,88.1,86.68,10.26K,0.13%
2023-07-03,87.58,89.12,89.83,87.18,13.06K,-2.22%
2023-06-30,89.57,88.1,89.61,87.11,12.88K,1.63%
2023-06-29,88.13,87.34,88.82,87.24,12.33K,-0.09%
2023-06-28,88.21,89.67,89.7,86.98,13.96K,-0.99%
2023-06-27,89.09,86.49,89.17,85.8,14.66K,3.01%
2023-06-26,86.49,87.69,89.65,85.89,16.58K,-1.21%
2023-06-23,87.55,90.9,90.9,87.55,14.05K,-3.74%
2023-06-22,90.95,90.2,91.2,88.33,18.31K,0.11%
2023-06-21,90.85,94.41,95.4,90.39,27.35K,-3.87%
2023-06-20,94.51,93.09,96,92.85,23.51K,1.37%
2023-06-19,93.23,91.7,93.65,90.3,15.15K,1.43%
2023-06-16,91.92,92.92,93.18,90.5,19.81K,-1.09%
2023-06-15,92.93,93.51,95.18,91.51,29.19K,-0.74%
2023-06-14,93.62,90.46,93.99,89.91,28.12K,3.20%
2023-06-13,90.72,88,91.03,86.91,30.35K,2.83%
2023-06-12,88.22,86.75,88.46,84.88,17.45K,2.41%
2023-06-09,86.14,83.75,87.3,83.5,17.41K,3.35%
2023-06-08,83.35,83.99,84.95,82.63,15.10K,-0.61%
2023-06-07,83.86,81.64,84.19,80.1,18.61K,2.72%
2023-06-06,81.64,83,83.48,80.28,17.91K,-1.47%
2023-06-05,82.86,79.05,83.25,78.01,23.97K,5.53%
2023-06-02,78.52,78.95,80.47,78.52,15.52K,-0.54%
2023-06-01,78.95,80.78,81.1,78.47,22.48K,-2.25%
2023-05-31,80.77,80.45,81.97,79.32,21.92K,0.49%
2023-05-30,80.38,83.05,83.34,80.36,24.55K,-3.16%
2023-05-29,83,83.01,84.46,82.67,4.74K,-0.16%
2023-05-26,83.13,82.75,83.37,81.94,14.76K,0.61%
2023-05-25,82.63,85.03,85.15,82.63,20.74K,-2.55%
2023-05-24,84.79,85.81,86.26,84.55,13.80K,-1.18%
2023-05-23,85.8,87.4,87.72,85.36,16.12K,-1.66%
2023-05-22,87.25,89.43,89.71,86.77,15.35K,-2.44%
2023-05-19,89.43,89.66,91.24,89.33,12.79K,-0.25%
2023-05-18,89.65,88.49,90.21,87.92,9.13K,1.83%
2023-05-17,88.04,88.77,89.75,87.55,11.44K,-1.00%
2023-05-16,88.93,87.14,89.2,86.66,13.11K,2.05%
2023-05-15,87.14,88.5,89.19,86.13,15.99K,-2.01%
2023-05-12,88.93,88.54,89.67,88.14,9.38K,0.41%
2023-05-11,88.57,89.22,90.12,87.68,16.42K,-0.55%
2023-05-10,89.06,87.69,89.75,87.2,16.36K,1.77%
2023-05-09,87.51,85.57,87.75,85.2,14.24K,2.24%
2023-05-08,85.59,85,85.99,84.5,6.33K,0.74%
2023-05-05,84.96,84.66,86.9,84.3,12.00K,0.54%
2023-05-04,84.5,85.29,85.71,83.25,17.53K,-0.76%
2023-05-03,85.15,89,89.35,84,24.91K,-3.81%
2023-05-02,88.52,85.66,90.82,85.42,21.01K,3.37%
2023-05-01,85.63,87.39,88.36,85.5,4.52K,-2.30%
2023-04-28,87.65,86.49,88.11,86.13,11.92K,1.12%
2023-04-27,86.68,85.94,87.9,85.4,18.54K,0.51%
2023-04-26,86.24,86.9,87,85.16,19.49K,-0.66%
2023-04-25,86.81,88.58,88.91,86.53,20.94K,-1.98%
2023-04-24,88.56,90.11,90.11,87.59,17.79K,-1.45%
2023-04-21,89.86,91.95,92.41,89.25,16.35K,-2.05%
2023-04-20,91.74,94.45,94.66,91.18,18.42K,-2.81%
2023-04-19,94.39,95.3,96.47,94.18,12.80K,-0.80%
2023-04-18,95.15,92.98,95.6,92.33,14.37K,2.41%
2023-04-17,92.91,94.14,94.75,92.16,11.40K,-1.28%
2023-04-14,94.11,94.39,94.99,93.16,11.55K,-0.30%
2023-04-13,94.39,96.15,96.5,93.1,14.93K,-1.95%
2023-04-12,96.27,97.53,98.21,95.09,16.89K,-1.23%
2023-04-11,97.47,96.75,98.43,96.72,12.46K,0.74%
2023-04-06,96.75,97,97.9,96,,-0.27%
2023-04-05,97.01,94.97,98,94.78,17.83K,2.14%
2023-04-04,94.98,96,97.35,94.63,15.77K,-1.06%
2023-04-03,96,91.75,96.16,91.69,15.34K,4.63%
2023-03-31,91.75,90.93,92.89,90.71,14.19K,1.05%
