일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
2023-07-24,KAU22,7020,-780,-10.0,7800,7800,7020,279984,1979900370,7071
2023-07-24,KAU23,10600,0,0.0,0,0,0,0,0,0
2023-07-24,KAU24,11250,0,0.0,0,0,0,0,0,0
2023-07-24,KAU25,11250,0,0.0,0,0,0,0,0,0
2023-07-24,KCU22,8600,0,0.0,0,0,0,0,0,0
2023-07-24,KCU23,8210,0,0.0,0,0,0,0,0,0
2023-07-24,KOC21-23,11000,0,0.0,0,0,0,0,0,0
2023-07-24,KOC22-24,9500,0,0.0,0,0,0,0,0,0
2023-07-24,KOC23-25,14500,0,0.0,0,0,0,0,0,0
2023-07-24,i-KCU22,15450,0,0.0,0,0,0,0,0,0
2023-07-24,i-KCU23,15450,0,0.0,0,0,0,0,0,0
2023-07-24,i-KOC21-23,11650,0,0.0,0,0,0,0,0,0
2023-07-24,i-KOC22-24,13000,0,0.0,0,0,0,0,0,0
2023-07-24,i-KOC23-25,16000,0,0.0,0,0,0,0,0,0
2023-07-21,KAU22,7800,-860,-9.93,8590,8590,7800,229196,1798591640,7847
2023-07-21,KAU23,10600,0,0.0,0,0,0,0,0,0
2023-07-21,KAU24,11250,0,0.0,0,0,0,0,0,0
2023-07-21,KAU25,11250,0,0.0,0,0,0,0,0,0
2023-07-21,KCU22,8600,0,0.0,0,0,0,0,0,0
2023-07-21,KCU23,8210,0,0.0,0,0,0,0,0,0
2023-07-21,KOC21-23,11000,0,0.0,0,0,0,0,0,0
2023-07-21,KOC22-24,9500,0,0.0,0,0,0,0,0,0
2023-07-21,KOC23-25,14500,0,0.0,0,0,0,0,0,0
2023-07-21,i-KCU22,15450,0,0.0,0,0,0,0,0,0
2023-07-21,i-KCU23,15450,0,0.0,0,0,0,0,0,0
2023-07-21,i-KOC21-23,11650,0,0.0,0,0,0,0,0,0
2023-07-21,i-KOC22-24,13000,0,0.0,0,0,0,0,0,0
2023-07-21,i-KOC23-25,16000,0,0.0,0,0,0,0,0,0
